Title,Authors,Publish_Date,Abstract,Article_Link,correspondence_author,keywords,correspondance_author_email
Cluster-specific associations between the gut microbiota and behavioral outcomes in preschool-aged children,"Marcel van de Wouw, Yanan Wang, Matthew L. Workentine, Elnaz Vaghef-Mehrabani, Delaney Barth, Emily M. Mercer, Deborah Dewey, Marie-Claire Arrieta, Raylene A. Reimer, Lianne Tomfohr-Madsen and Gerald F. Giesbrecht",3/21/2024,"The gut microbiota is recognized as a regulator of brain development and behavioral outcomes during childhood. Nonetheless, associations between the gut microbiota and behavior are often inconsistent among stu...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01773-5,Gerald F. Giesbrecht,"Gut microbiota, Cluster, Child, Neurodevelopment, Gut-brain axis, Alberta Pregnancy Outcomes and Nutrition (APrON) Study, Sociability, Internalizing, Externalizing",ggiesbre@ucalgary.ca
Microbiota-derived indoles alleviate intestinal inflammation and modulate microbiome by microbial cross-feeding,"Gang Wang, Yuxin Fan, Guolong Zhang, Shuang Cai, Yonghang Ma, Lijie Yang, Yuming Wang, Haitao Yu, Shiyan Qiao and Xiangfang Zeng",3/19/2024,"The host–microbiota interaction plays a crucial role in maintaining homeostasis and disease susceptibility, and microbial tryptophan metabolites are potent modulators of host physiology. However, whether and h...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01750-y,Xiangfang Zeng,"Microbial tryptophan metabolites, Indole derivatives, Intestinal inflammation, Lactobacillus",ziyangzxf@163.com
Contigs directed gene annotation (ConDiGA) for accurate protein sequence database construction in metaproteomics,"Enhui Wu, Vijini Mallawaarachchi, Jinzhi Zhao, Yi Yang, Hebin Liu, Xiaoqing Wang, Chengpin Shen, Yu Lin and Liang Qiao",3/19/2024,Microbiota are closely associated with human health and disease. Metaproteomics can provide a direct means to identify microbial proteins in microbiota for compositional and functional characterization. Howeve...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01775-3,Liang Qiao,"Taxonomic annotation, Metaproteomics, Metagenomics, Microbiota, Mass spectrometry",liang_qiao@fudan.edu.cn
Lose-lose consequences of bacterial community-driven invasions in soil,Xipeng Liu and Joana Falcão Salles,3/18/2024,"Community-driven invasion, also known as community coalescence, occurs widely in natural ecosystems. Despite that, our knowledge about the process and mechanisms controlling community-driven invasion in soil e...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01763-7,Joana Falcão Salles,"Microbial interactions, Biotic disturbances, Beneficial microbial consortia, Niche overlap and divergence, Functional redundancy, Soil restoration",j.falcao.salles@rug.nl
Intact lung tissue and bronchoalveolar lavage fluid are both suitable for the evaluation of murine lung microbiome in acute lung injury,"Lijun Zheng, Chengjun Liu, Hongjing Wang, Jun Zhang, Lejiao Mao, Xiaomei Dong, Siyao Hu, Na Li, Dandan Pi, Jingfu Qiu, Feng Xu, Chengzhi Chen and Zhen Zou",3/18/2024,"Accumulating clinical evidence suggests that lung microbiome is closely linked to the progression of pulmonary diseases; however, it is still controversial which specimen type is preferred for the evaluation o...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01772-6,Zhen Zou,"Lung microbiome, Acute lung injury, 16S rRNA, Actinobacteriota",zouzhen@cqmu.edu.cn
"Global abundance patterns, diversity, and ecology of Patescibacteria in wastewater treatment plants","Huifeng Hu, Jannie Munk Kristensen, Craig William Herbold, Petra Pjevac, Katharina Kitzinger, Bela Hausmann, Morten Kam Dahl Dueholm, Per Halkjaer Nielsen and Michael Wagner",3/16/2024,"Microorganisms are responsible for nutrient removal and resource recovery in wastewater treatment plants (WWTPs), and their diversity is often studied by 16S rRNA gene amplicon sequencing. However, this approa...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01769-1,Michael Wagner,"Patescibacteria, Wastewater treatment plants, 16S rRNA gene amplicon sequencing, Diversity, Network analysis, Host prediction",michael.wagner@univie.ac.at
Global prevalence of organohalide-respiring bacteria dechlorinating polychlorinated biphenyls in sewage sludge,"Guofang Xu, Siyan Zhao, Matthew J. Rogers, Chen Chen and Jianzhong He",3/16/2024,"Massive amounts of sewage sludge are generated during biological sewage treatment and are commonly subjected to anaerobic digestion, land application, and landfill disposal. Concurrently, persistent organic po...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01754-8,Jianzhong He,"Sewage sludge, Persistent organic pollutants, Organohalide-respiring bacteria, Reductive dechlorination, Microbial ecology",jianzhong.he@nus.edu.sg
A first characterization of the microbiota-resilience link in swine,"Enrico Mancin, Christian Maltecca, Yi Jian Huang, Roberto Mantovani and Francesco Tiezzi",3/15/2024,"The gut microbiome plays a crucial role in understanding complex biological mechanisms, including host resilience to stressors. Investigating the microbiota-resilience link in animals and plants holds relevanc...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01771-7,Francesco Tiezzi,"Gut microbiota, Pigs, Resilience, Animal-health",francesco.tiezzi2@unifi.it
"Mapping the widespread distribution and transmission dynamics of linezolid resistance in humans, animals, and the environment","Weiyi Shen, Chang Cai, Ning Dong, Jiawei Chen, Rong Zhang and Jiachang Cai",3/13/2024,"The rise of linezolid resistance has been widely observed both in clinical and non-clinical settings. However, there were still data gaps regarding the comprehensive prevalence and interconnections of linezoli...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01744-2,"Rong Zhang,Jiachang Cai","Linezolid resistance, Human, Animal, Environment, optrA, One health","zhang-rong@zju.edu.cn, caijiachang@zju.edu.cn"
Biofilm colonization and succession in a full-scale partial nitritation-anammox moving bed biofilm reactor,"Carolina Suarez, Tage Rosenqvist, Ivelina Dimitrova, Christopher J. Sedlacek, Oskar Modin, Catherine J. Paul, Malte Hermansson and Frank Persson",3/12/2024,"Partial nitritation-anammox (PNA) is a biological nitrogen removal process commonly used in wastewater treatment plants for the treatment of warm and nitrogen-rich sludge liquor from anaerobic digestion, often...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01762-8,Carolina Suarez,"Wastewater, Anammox, Biofilm, Ecology, Sidestream",carolina.suarez@tvrl.lth.se
